date,CPI_annual_pct,GDP_growth_annual_pct,External_debt_usd,country
2024,4.95303551,6.48422363,,India
2023,5.649143189,9.19075493,6.46787E+11,India
2022,6.699034141,7.609364978,6.15516E+11,India
2021,5.131407472,9.689592492,6.11987E+11,India
2020,6.623436776,-5.777724707,5.64979E+11,India
2019,3.729505735,3.871436941,5.61017E+11,India
2018,3.938826467,6.453851345,5.21176E+11,India
2017,3.328173375,6.795383419,5.11576E+11,India
2016,4.948216341,8.256305502,4.55542E+11,India
2015,4.906973441,7.996253786,4.78831E+11,India
2014,6.665656719,7.410227605,4.57507E+11,India
2013,10.01787847,6.386106401,4.27245E+11,India
2012,9.478996914,5.456387552,3.92576E+11,India
2011,8.911793365,5.241316199,3.34399E+11,India
2010,11.98938992,8.497584702,2.90428E+11,India
2024,4.367464077,3.395866455,,Brazil
2023,4.593562823,3.241655329,6.07115E+11,Brazil
2022,9.28010609,3.016694354,5.79468E+11,Brazil
2021,8.301659756,4.762604379,5.71531E+11,Brazil
2020,3.211768038,-3.276758796,5.49326E+11,Brazil
2019,3.732976212,1.220777824,5.68709E+11,Brazil
2018,3.664850284,1.783666762,5.57765E+11,Brazil
2017,3.44637335,1.322869054,5.43E+11,Brazil
2016,8.739143523,-3.275916908,5.43257E+11,Brazil
2015,9.029901024,-3.545763393,5.43397E+11,Brazil
2014,6.329040155,0.50395574,5.5692E+11,Brazil
2013,6.204310666,3.004822669,4.83735E+11,Brazil
2012,5.40349914,1.921175986,4.40497E+11,Brazil
2011,6.636449622,3.974423079,4.04046E+11,Brazil
2010,5.038726901,7.528225818,3.52364E+11,Brazil
2024,4.361152465,0.579853692,,South Africa
2023,6.075243846,0.698485194,1.65787E+11,South Africa
2022,7.039872725,1.91147996,1.71723E+11,South Africa
2021,4.618745449,4.955032594,1.69438E+11,South Africa
2020,3.232388316,-6.168917715,1.75417E+11,South Africa
2019,4.102850755,0.259935577,1.90738E+11,South Africa
2018,4.509872649,1.556783847,1.80184E+11,South Africa
2017,5.186186555,1.157946952,1.75014E+11,South Africa
2016,6.602908424,0.664552308,1.44048E+11,South Africa
2015,4.518690949,1.321862237,1.27741E+11,South Africa
2014,6.132829531,1.413826452,1.49318E+11,South Africa
2013,5.780169101,2.485468008,1.41639E+11,South Africa
2012,5.737971391,2.396232385,1.4796E+11,South Africa
2011,5.000853388,3.168556279,1.24137E+11,South Africa
2010,4.06749556,3.039732881,1.15322E+11,South Africa
2024,58.50645073,3.184024355,,Turkey
2023,53.85940876,5.111168185,4.99842E+11,Turkey
2022,72.30883599,5.533427875,4.57917E+11,Turkey
2021,19.59649269,11.43939569,4.3637E+11,Turkey
2020,12.27895745,1.85987304,4.2977E+11,Turkey
2019,15.17682157,0.818514527,4.1487E+11,Turkey
2018,16.3324639,3.013170393,4.26808E+11,Turkey
2017,11.14431108,7.501997489,4.47425E+11,Turkey
2016,7.775134153,3.323084208,3.99312E+11,Turkey
2015,7.670853648,6.084486904,3.99739E+11,Turkey
2014,8.854572714,4.939715161,4.13916E+11,Turkey
2013,7.493090305,8.485816997,4.02184E+11,Turkey
2012,8.891569965,4.788492711,3.53398E+11,Turkey
2011,6.471879671,11.20011058,3.20986E+11,Turkey
2010,8.566444206,8.427104323,3.16657E+11,Turkey
2024,-0.429360049,5.00871931,,Sri Lanka
2023,16.54117423,-2.32984819,61705953520,Sri Lanka
2022,49.72110211,-7.349193013,58717563401,Sri Lanka
2021,7.014780712,4.207476495,58741883598,Sri Lanka
2020,6.153945084,-4.624515037,56875086630,Sri Lanka
2019,3.528393582,-0.220483887,56118735647,Sri Lanka
2018,2.135037737,2.310084255,52920652662,Sri Lanka
2017,7.704137679,6.460681271,50766665979,Sri Lanka
2016,3.958888466,5.05362489,46662738616,Sri Lanka
2015,3.768367831,4.205955477,43926833891,Sri Lanka
2014,3.179002282,6.377978893,42264361572,Sri Lanka
2013,6.908450348,4.051746329,39316198514,Sri Lanka
2012,7.542913732,8.63218138,35735908568,Sri Lanka
2011,6.716768436,8.669483012,25795379781,Sri Lanka
2010,6.217648893,8.01596737,21684210689,Sri Lanka
2024,28.27058993,2.399169268,,Egypt
2023,33.88477631,3.760280523,1.68062E+11,Egypt
2022,13.89566098,6.587845609,1.63092E+11,Egypt
2021,5.214049405,3.290646012,1.45998E+11,Egypt
2020,5.04493289,3.550164838,1.32539E+11,Egypt
2019,9.152799593,5.552093072,1.1491E+11,Egypt
2018,14.40146578,5.331108619,99457163486,Egypt
2017,29.50660839,4.181221,84587108845,Egypt
2016,13.81360621,4.346643456,69188517055,Egypt
2015,10.37049034,4.372019078,49873938936,Egypt
2014,10.07021547,2.91591188,41772774971,Egypt
2013,9.469719811,2.185466054,46534987115,Egypt
2012,7.111729433,2.226199799,40061753452,Egypt
2011,10.06492599,1.764571949,35208762811,Egypt
2010,11.26518827,5.147234858,36803931990,Egypt
